task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
examine the newspaper with the desklamp.,"newspaper, desklamp",examine,TRANSFORM,Failed to examine newspaper when desklamp was not co-located or using incorrect command.,Bring the newspaper to the desklamp's location after turning the desklamp on.,VALID_NEXT_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,8-10,look_at_obj_in_light-Newspaper-None-DeskLamp-216,2,12-13
examine the newspaper with the desklamp.,"newspaper, desklamp",examine,TRANSFORM,Attempted to examine objects that were not co-located.,Ensure both objects are at the same location before attempting to examine them.,VALID_SAME_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,1,5-9,look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,1,14-15
examine the newspaper with the desklamp.,desklamp,turn on,TRANSFORM,Used incorrect verb 'turn on' to activate desklamp.,Use the 'use' command to turn on the desklamp.,VALID_SAME_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,1,6-6,look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,1,7-7
examine the newspaper with the desklamp.,newspaper,take,ACQUIRE,Attempted to take an object from a different location.,Go to the object's location before attempting to take it.,VALID_SAME_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,1,11-11,look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,1,12-13
examine the pen with the desklamp.,drawer,"go, open",SEARCH,Attempted to interact with a non-existent or inaccessible drawer.,Verify the existence and accessibility of containers before attempting to interact with them.,VALID_SAME_TRIAL,look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,1,10-11,look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,1,12-12
examine the pen with the desklamp.,desklamp,take,ACQUIRE,Used 'take' verb on a stationary desklamp instead of 'use' to activate it.,Use the 'use' command to activate stationary light sources like a desklamp.,VALID_SAME_TRIAL,look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,1,15-15,look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,1,17-17
examine the pen with the desklamp.,"pen, desklamp",examine,TRANSFORM,Failed to examine object with light source due to missing preconditions.,Ensure the target object is held and the light source is activated before attempting to examine.,VALID_SAME_TRIAL,look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,1,13-16,look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,1,14-17
examine the pen with the desklamp.,pen,"go, open",ACQUIRE,Pen not found in expected locations (drawers) after repeated search attempts.,Expand search to other furniture types like shelves when an object is not found in initial expected locations.,VALID_SAME_TRIAL,look_at_obj_in_light-Pen-None-DeskLamp-319/trial_T20190908_222409_540184,1,4-32,look_at_obj_in_light-Pen-None-DeskLamp-319/trial_T20190908_222409_540184,1,33-34
examine the pen with the desklamp.,desklamp,"examine, use",TRANSFORM,Attempted to examine pen with desklamp before turning the desklamp on.,Ensure interactive objects like desklamps are turned on before attempting to use them for a task.,VALID_SAME_TRIAL,look_at_obj_in_light-Pen-None-DeskLamp-319/trial_T20190908_222409_540184,1,38-38,look_at_obj_in_light-Pen-None-DeskLamp-319/trial_T20190908_222409_540184,1,39-40
look at pencil under the desklamp.,pencil,"go to, open",ACQUIRE,"Inefficiently searched for pencil in multiple incorrect locations (drawers, garbagecan, early shelves).","Expand search to a wider range of locations, including shelves, to locate the object.",VALID_SAME_TRIAL,look_at_obj_in_light-Pencil-None-DeskLamp-319/trial_T20190908_135102_644449,1,2-34,look_at_obj_in_light-Pencil-None-DeskLamp-319/trial_T20190908_135102_644449,1,35-35
look at pencil under the desklamp.,"pencil, dresser",look at,SEARCH,"Attempted 'look at' action on dresser 1 to find pencil, but it had no effect.","Verify object presence before using 'look at'; if not found, continue searching elsewhere.",VALID_SAME_TRIAL,look_at_obj_in_light-Pencil-None-DeskLamp-319/trial_T20190908_135102_644449,1,26-26,look_at_obj_in_light-Pencil-None-DeskLamp-319/trial_T20190908_135102_644449,1,35-35
examine the pencil with the desklamp.,desklamp,look at,SEARCH,Attempted to look at desklamp at an incorrect location.,Correctly identified the desklamp's actual location on shelf 2 through continued search.,VALID_SAME_TRIAL,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,1,3-3,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,1,9-9
examine the pencil with the desklamp.,desklamp,take,ACQUIRE,"Failed to take desklamp, confirming it is a fixed object.",Adapted strategy by moving the movable pencil to the fixed desklamp's location.,VALID_NEXT_TRIAL,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,1,10-10,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,4,10-11
examine the pencil with the desklamp.,pencil,take,ACQUIRE,"Failed to take pencil, initially believed to be fixed.","Successfully picked up the pencil, demonstrating it was movable despite prior failures.",VALID_NEXT_TRIAL,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,1,12-12,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,4,10-10
examine the pencil with the desklamp.,"pencil, desklamp",examine,TRANSFORM,Failed to examine objects due to lack of co-location.,Ensured co-location of pencil and desklamp by moving the pencil to the desklamp's location.,VALID_NEXT_TRIAL,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,1,28-31,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,4,10-11
examine the pillow with the desklamp.,"pillow, desklamp","look at, examine",SEARCH,"Attempted to 'look at' a location, which had no effect for finding objects.",Rely on 'go to' observations to identify objects present at a location.,VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-216,1,2-2,look_at_obj_in_light-Pillow-None-DeskLamp-216,1,3-3
examine the pillow with the desklamp.,"pillow, desklamp","look at, examine",TRANSFORM,"Used 'examine X with Y' command, which was ineffective for the task.","To examine an object with a light source, 'use' the light source directly.",VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-216,1,6-6,look_at_obj_in_light-Pillow-None-DeskLamp-216,1,11-11
examine the pillow with the desklamp.,"pillow, desklamp","look at, examine",ACQUIRE,"Attempted to 'take' the desklamp, which was not the correct action for its use.","Do not 'take' the desklamp; instead, 'use' it in its fixed location.",VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-216,1,7-7,look_at_obj_in_light-Pillow-None-DeskLamp-216,1,11-11
examine the pillow with the desklamp.,"desklamp, pillow","examine, look at, use",TRANSFORM,Failed to examine object with desklamp because it was off.,Turn on the desklamp before attempting to examine objects with it.,VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-306,1,7-7,look_at_obj_in_light-Pillow-None-DeskLamp-306,1,10-10
examine the pillow with the desklamp.,desklamp,"take, move",ACQUIRE,"Failed to take or move the desklamp, indicating it is stationary.","If an object is stationary, move the other required object to its location.",VALID_NEXT_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,3-3,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,2,10-10
examine the pillow with the desklamp.,pillow,"take, go to",ACQUIRE,Failed to take pillow from bed because agent was not at its location.,Go to the object's location before attempting to take it.,VALID_NEXT_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,4-4,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,2,11-12
examine the pillow with the desklamp.,desklamp,"turn on, use",TRANSFORM,Used 'turn on' command instead of 'use' to activate the desklamp.,Use the 'use' command to turn on the desklamp.,VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,5-5,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,6-6
examine the pillow with the desklamp.,"pillow, desklamp","examine, use",RECOVER,Attempted to examine pillow without the desklamp present or active.,Ensure the desklamp is present and active when attempting to examine an object.,VALID_NEXT_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,8-28,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,2,15-16
examine the pillow with the desklamp.,"pillow, desklamp","examine, go to, take",RECOVER,Failed to examine pillow with desklamp because objects were not co-located.,Bring the pillow to the desklamp's location before attempting examination.,VALID_NEXT_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,9-22,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,2,10-13
examine the pillow with the desklamp.,desklamp,"use, go to",TRANSFORM,Attempted to use desklamp from an incorrect location (bed).,Go to the desklamp's location before attempting to use it.,VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,14-21,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,26-26
examine the pillow with the desklamp.,"pillow, desklamp","examine with, use on, use",RECOVER,Used 'examine with' or 'use on' commands instead of 'use' for desklamp examination.,"To examine an object with a desklamp, hold the object and use the desklamp.",VALID_NEXT_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,1,20-20,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,2,15-16
look at pillow under the desklamp.,"Pillow, DeskLamp",look at,SEARCH,Failed to locate the desklamp in initial search attempts across multiple locations.,"Systematically explore different locations, such as shelves, when initial searches in common areas like desks fail to find the object.",VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-320/trial_T20190906_225859_247598,1,3-6,look_at_obj_in_light-Pillow-None-DeskLamp-320/trial_T20190906_225859_247598,1,7-7
look at pillow under the desklamp.,"Pillow, DeskLamp",look at,PLACE,"Attempted to place the pillow 'under' or 'on' the desklamp using 'put' actions, which had no effect.","To achieve 'look at obj under desklamp', activate the desklamp using the 'use' command after bringing the object to its location.",VALID_SAME_TRIAL,look_at_obj_in_light-Pillow-None-DeskLamp-320/trial_T20190906_225859_247598,1,8-9,look_at_obj_in_light-Pillow-None-DeskLamp-320/trial_T20190906_225859_247598,1,10-10
look at statue under the desklamp.,statue,take,ACQUIRE,"Initial attempts to take statue 1 failed, leading to the assumption it was fixed.",Statue 1 is a movable object; successfully picked it up from desk 1.,VALID_NEXT_TRIAL,look_at_obj_in_light-Statue-None-DeskLamp-304,1,9-9,look_at_obj_in_light-Statue-None-DeskLamp-304,5,25-25
look at statue under the desklamp.,desklamp,take,ACQUIRE,"Attempted to take desklamp 1, which consistently failed, indicating it is a fixed object.",Desklamp 1 is a fixed object and cannot be picked up or moved.,VALID_NEXT_TRIAL,look_at_obj_in_light-Statue-None-DeskLamp-304,1,8-8,look_at_obj_in_light-Statue-None-DeskLamp-304,2,10-10
look at statue under the desklamp.,"statue, desklamp","look at, use",TRANSFORM,"Looking at statue after remotely turning on desklamp failed, misinterpreting the 'under the desklamp' condition.","To satisfy 'under the desklamp' condition, hold the target object and use the desklamp at its location.",VALID_NEXT_TRIAL,look_at_obj_in_light-Statue-None-DeskLamp-304,1,20-20,look_at_obj_in_light-Statue-None-DeskLamp-304,6,11-11
look at statue under the desklamp.,drawer,"go to, open",SEARCH,"Repeatedly attempted to 'go to' or 'open' drawers, but they remained inaccessible.",Drawers 1 and 2 are currently inaccessible and cannot be opened or navigated to.,VALID_NEXT_TRIAL,look_at_obj_in_light-Statue-None-DeskLamp-304,3,8-8,look_at_obj_in_light-Statue-None-DeskLamp-304,5,14-14
look at statue under the desklamp.,"statue, shelf",put,PLACE,"Attempted to 'put' a held object (statue 1) onto a surface (shelf 1), which failed.",Objects cannot be arbitrarily placed on surfaces using the 'put' command.,VALID_NEXT_TRIAL,look_at_obj_in_light-Statue-None-DeskLamp-304,5,29-29,look_at_obj_in_light-Statue-None-DeskLamp-304,6,10-10
look at statue under the desklamp.,"statue, desklamp",put,PLACE,Used unsupported syntax 'put object under another object' for placement.,The specific command 'put object under another object' is not supported; use 'use' action with the light source instead.,VALID_SAME_TRIAL,look_at_obj_in_light-Statue-None-DeskLamp-304,6,9-9,look_at_obj_in_light-Statue-None-DeskLamp-304,6,11-11
examine the tissuebox with the desklamp.,"tissuebox, desklamp","examine, use",TRANSFORM,Attempted to examine object with an inactive desklamp.,Activate the desklamp using the 'use' verb before examining an object.,VALID_SAME_TRIAL,look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,1,3-3,look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,1,6-6
examine the tissuebox with the desklamp.,desklamp,"turn on, use",ACQUIRE,Used incorrect verb 'turn on' to activate the desklamp.,Use the 'use' verb to activate the desklamp.,VALID_SAME_TRIAL,look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,1,5-5,look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,1,6-6
examine the tissuebox with the desklamp.,"tissuebox, desklamp","examine, look at, take",TRANSFORM,Failed to examine object with active desklamp; object not in inventory.,Take the object into inventory before attempting to examine it with a tool.,VALID_SAME_TRIAL,look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,1,8-16,look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,1,18-18
examine the watch with the desklamp.,"watch, desklamp",examine,TRANSFORM,Attempted to examine watch with desklamp when desklamp was off.,Ensure the desklamp is turned on before attempting to examine an object with it.,VALID_SAME_TRIAL,look_at_obj_in_light-Watch-None-DeskLamp-205/trial_T20190907_001948_509721,1,15-15,look_at_obj_in_light-Watch-None-DeskLamp-205/trial_T20190907_001948_509721,1,19-19
examine the watch with the desklamp.,desklamp,turn on,TRANSFORM,"Used 'turn on' command to activate desklamp, which had no effect.",Use the 'use' command to activate the desklamp.,VALID_SAME_TRIAL,look_at_obj_in_light-Watch-None-DeskLamp-205/trial_T20190907_001948_509721,1,17-17,look_at_obj_in_light-Watch-None-DeskLamp-205/trial_T20190907_001948_509721,1,19-19
put some book on desk.,"book, shelf",search,SEARCH,Book not found on shelf 1.,Search for the book on bed 2.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,3-3,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,21-21
put some book on desk.,"book, desk",search,SEARCH,Book not found on desk 1.,Search for the book on bed 2.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,5-5,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,21-21
put some book on desk.,drawer,go to,SEARCH,"`go to drawer X` failed, drawers are not distinct navigable locations.",Avoid using `go to` command for drawers as they are not distinct navigable locations.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,7-10,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,16-16
put some book on desk.,drawer,open,SEARCH,"`open drawer X` failed repeatedly, indicating drawers are not openable or contain items in this environment.",Abandon searching in drawers; they are not interactable for item retrieval in this environment.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,8-13,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,21-21
put some book on desk.,desk,go to,RECOVER,"`go to desk 1` failed, indicating agent was already at the location.",Do not use `go to` command if already at the target location or if it's not a distinct navigable point.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,15-15,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,16-16
put some book on desk.,"book, bed",search,SEARCH,Book not found on bed 1.,Search for the book on bed 2.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,17-17,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,21-21
put some book on desk.,"book, drawer",search,SEARCH,Book not found on drawer 3.,Search for the book on bed 2.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,19-19,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,1,21-21
put some book on desk.,drawer,open,SEARCH,Attempted to access contents of multiple drawers without opening them first.,Always open a closed drawer before attempting to search its contents or take items.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-313/trial_T20190909_140547_719284,1,7-15,pick_and_place_simple-Book-None-Desk-313/trial_T20190909_140547_719284,1,8-16
put some book on desk.,book,search,SEARCH,Book not found in common or initially expected locations.,Expand search to less obvious or containerized locations like drawers when primary locations are empty.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Desk-313/trial_T20190909_140547_719284,1,3-6,pick_and_place_simple-Book-None-Desk-313/trial_T20190909_140547_719284,1,7-16
put some book on sofa.,"Book, Sofa","pick, place",SEARCH,Book not found at coffeetable 1.,Search for the book at sidetable 1.,VALID_SAME_TRIAL,pick_and_place_simple-Book-None-Sofa-202/trial_T20190907_043652_096323,1,3-3,pick_and_place_simple-Book-None-Sofa-202/trial_T20190907_043652_096323,1,4-4
put a candle in toilet.,drawer,open,SEARCH,Attempted to access a container (drawer) that was closed.,Always open a container before attempting to search or take items from it.,VALID_SAME_TRIAL,pick_and_place_simple-Candle-None-Toilet-409/trial_T20190908_142251_407168,1,3-8,pick_and_place_simple-Candle-None-Toilet-409/trial_T20190908_142251_407168,1,4-9
put a candle in toilet.,"candle, drawer","go, open, take",SEARCH,The target object (candle) was not found in the initial search locations.,Continue searching systematically through all plausible locations until the object is found.,VALID_SAME_TRIAL,pick_and_place_simple-Candle-None-Toilet-409/trial_T20190908_142251_407168,1,4-6,pick_and_place_simple-Candle-None-Toilet-409/trial_T20190908_142251_407168,1,8-9
put some laptop on ottoman.,laptop,pick,SEARCH,"Laptop not found in initial search locations (tables, drawers).",Systematically search all available furniture and containers until the target object is located.,VALID_SAME_TRIAL,pick_and_place_simple-Laptop-None-Ottoman-203/trial_T20190908_110713_350931,1,2-21,pick_and_place_simple-Laptop-None-Ottoman-203/trial_T20190908_110713_350931,1,22-22
put some laptop on ottoman.,drawer,open,SEARCH,Attempted to access multiple closed drawers without opening them first.,Always open a closed drawer before attempting to check its contents for objects.,VALID_SAME_TRIAL,pick_and_place_simple-Laptop-None-Ottoman-203/trial_T20190908_110713_350931,1,5-18,pick_and_place_simple-Laptop-None-Ottoman-203/trial_T20190908_110713_350931,1,6-19
put some pencil on shelf.,Pencil,"pick, place",SEARCH,"Pencil not found in initial search locations (desk 1, drawer 1).",Systematically search all available containers and locations until the object is found.,VALID_SAME_TRIAL,pick_and_place_simple-Pencil-None-Shelf-313/trial_T20190908_182722_927182,1,2-5,pick_and_place_simple-Pencil-None-Shelf-313/trial_T20190908_182722_927182,1,3-8
put some pencil on shelf.,Drawer,open,SEARCH,Attempted to access contents of a closed drawer without opening it first.,Always open a closed container before attempting to access its contents.,VALID_SAME_TRIAL,pick_and_place_simple-Pencil-None-Shelf-313/trial_T20190908_182722_927182,1,4-7,pick_and_place_simple-Pencil-None-Shelf-313/trial_T20190908_182722_927182,1,5-8
put a pencil in sidetable.,pencil,find,SEARCH,Pencil not found on desk 1 as initially expected.,Continue searching other specified locations like drawer 2 to find the object.,VALID_SAME_TRIAL,pick_and_place_simple-Pencil-None-SideTable-309,1,3-3,pick_and_place_simple-Pencil-None-SideTable-309,1,6-6
put a pencil in sidetable.,drawer,open,ACQUIRE,Attempted to access contents of drawer 1 while it was closed.,Open the drawer before attempting to access its contents.,VALID_SAME_TRIAL,pick_and_place_simple-Pencil-None-SideTable-309,1,4-4,pick_and_place_simple-Pencil-None-SideTable-309,1,5-5
put a peppershaker in drawer.,"peppershaker, drawer","pick, place",RECOVER,Attempted to interact with a closed container.,Open the container before attempting to interact with its contents.,VALID_SAME_TRIAL,pick_and_place_simple-PepperShaker-None-Drawer-5,1,5-5,pick_and_place_simple-PepperShaker-None-Drawer-5,1,6-6
put a statue in coffeetable.,"Statue, CoffeeTable","pick, place",SEARCH,Statue not found on coffeetable 1 or coffeetable 2 as initially expected.,Expand search to other furniture like diningtable 1 when the object is not found in initial locations.,VALID_SAME_TRIAL,pick_and_place_simple-Statue-None-CoffeeTable-230/trial_T20190909_145138_877153,1,2-3,pick_and_place_simple-Statue-None-CoffeeTable-230/trial_T20190909_145138_877153,1,4-4
put some tissuebox on toilet.,cabinet,open,SEARCH,Attempted to access contents of a closed cabinet without opening it first.,Always open containers like cabinets before attempting to search or interact with their contents.,VALID_SAME_TRIAL,pick_and_place_simple-TissueBox-None-Toilet-402/trial_T20190908_060020_023543,1,3-11,pick_and_place_simple-TissueBox-None-Toilet-402/trial_T20190908_060020_023543,1,4-12
put some tissuebox on toilet.,tissuebox,search,SEARCH,Inefficiently searched multiple empty cabinets for the tissuebox.,Expand search to other likely locations like countertops when initial container checks fail.,VALID_SAME_TRIAL,pick_and_place_simple-TissueBox-None-Toilet-402/trial_T20190908_060020_023543,1,3-13,pick_and_place_simple-TissueBox-None-Toilet-402/trial_T20190908_060020_023543,1,14-14
put some toiletpaper on toiletpaperhanger.,drawer,open,SEARCH,Attempted to interact with a closed container during search.,Open the container before attempting to search or interact with its contents.,VALID_SAME_TRIAL,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-409,1,3-7,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-409,1,4-8
put some toiletpaper on toiletpaperhanger.,"toiletpaper, drawer",open,SEARCH,Target object not found in the initially checked containers.,Continue searching systematically through other potential containers until the object is located.,VALID_SAME_TRIAL,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-409,1,4-6,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-409,1,8-8
put a tomato in microwave.,fridge,"go, open",ACQUIRE,Attempted to take an item from a closed fridge.,Open the fridge before attempting to take items from it.,VALID_SAME_TRIAL,pick_and_place_simple-Tomato-None-Microwave-5/trial_T20190918_171755_707602,1,2-2,pick_and_place_simple-Tomato-None-Microwave-5/trial_T20190918_171755_707602,1,3-3
