task_type,task_id,split,task_desc,already_in_memory
pick_and_place_simple,pick_and_place_simple-WineBottle-None-DiningTable-15/trial_T20190906_184025_017468,train,Move the bottle from the waste basket to the white table.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Apple-None-Fridge-27/trial_T20190906_220837_406682,train,Place the clean apple in the fridge.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-25/trial_T20190907_212003_625417,train,Put a cleaned knife on the counter in front of the sink.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124509_288754,train,Rinse a knife and put it away in a drawer.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-DishSponge-None-Toilet-427/trial_T20190908_234203_467365,train,Put a cleaned sponge on the toilet. ,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Egg-None-SideTable-21/trial_T20190908_033957_288599,train,Place a washed egg on the table.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Kettle-None-StoveBurner-1/trial_T20190908_172105_948396,train,"Take the Kettle from the stove, wash it and put it back.",False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Ladle-None-CounterTop-20/trial_T20190907_130836_804995,train,Place a cleaned ladle on the counter to the left of the sink.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Ladle-None-CounterTop-8/trial_T20190909_121931_494324,train,Place a rinsed ladle on a counter.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Lettuce-None-CounterTop-13/trial_T20190909_035118_268695,train,Place a washed head of lettuce on a counter.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Lettuce-None-DiningTable-20/trial_T20190906_191212_598810,train,Put washed lettuce on the table.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-1/trial_T20190909_134710_542972,train,Put a clean mug under the coffee maker.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-13/trial_T20190907_172113_249829,train,Take the mug from the cupboard and put it on the coffee maker.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-18/trial_T20190909_101110_748348,train,Put a clean mug in a coffee machine.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Pan-None-Fridge-13/trial_T20190908_083734_836923,train,Put a clean pan in the refrigerator. ,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Plate-None-Shelf-7/trial_T20190908_230022_030239,train,Wash the dirty dish on the table with clean water and put it on the shelf.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Potato-None-GarbageCan-19/trial_T20190908_074136_618715,train,Place a rinsed potato into the garbage can.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-SoapBar-None-Cabinet-422/trial_T20190909_170330_111958,train,Put the cleaned soap bar in the bathroom cabinet,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-SoapBar-None-Cart-430/trial_T20190907_075716_990340,train,Place a clean bar of soap on a steel shelf.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-SoapBar-None-GarbageCan-429/trial_T20190909_015333_203352,train,Place a wet bar of soap in a waste basket,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Spatula-None-DiningTable-24/trial_T20190909_021050_633083,train,Put a clean spatula on the table.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Apple-None-GarbageCan-5/trial_T20190908_111836_482484,train,Put an apple in the garbage.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Bowl-None-Cabinet-19/trial_T20190908_022130_590876,train,Put a chilled bowl in the cupboard. ,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Bowl-None-Microwave-7/trial_T20190908_231310_981246,train,Put the chilled bowl in the microwave,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Bread-None-CounterTop-17/trial_T20190907_150853_448489,train,Put cold bread on the counter.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Bread-None-DiningTable-15/trial_T20190908_195722_260654,train,Put a cold loaf of bread on the table. ,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Bread-None-Microwave-15/trial_T20190907_132900_527945,train,Place the cool bread inside the microwave.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Lettuce-None-CounterTop-24/trial_T20190908_015250_257517,train,Place the lettuce by the toaster. ,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190909_045142_232083,train,chill the lettuce and then put the lettuce on the table,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Mug-None-Shelf-20/trial_T20190908_121332_701155,train,Chill the mug and put it back on the shelves.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Pan-None-DiningTable-11/trial_T20190908_204315_625279,train,Put a chilled metal pan on a white table.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181154_262087,train,"take a pan from the stove, cool it in the fridge, then put it back on the stove on the back burner.",False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173250_466409,train,Put a chilled plate into the cabinet,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Plate-None-Cabinet-7/trial_T20190907_231242_525267,train,Place a cold plate into the cabinet below the sink.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Pot-None-DiningTable-24/trial_T20190908_111415_336140,train,Put a chilled pot on the table.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Tomato-None-DiningTable-11/trial_T20190908_220012_692282,train,Put a cold tomato on the table. ,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Tomato-None-GarbageCan-15/trial_T20190907_082803_736076,train,Place a cool tomato in the bin.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-Tomato-None-GarbageCan-5/trial_T20190909_153636_286202,train,Place a chilled tomato in a blue bin.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084106_624638,train,Put chilled wine in the cabinet.,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084141_322809,train,Put a chilled bottle in the cabinet right of the stove. ,False
pick_cool_then_place_in_recep,pick_cool_then_place_in_recep-WineBottle-None-CounterTop-17/trial_T20190907_002730_199024,train,Bring a chilled bottle to the counter,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Apple-None-Fridge-30/trial_T20190908_114847_958679,train,Place a heated apple in a fridge.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Apple-None-Fridge-6/trial_T20190908_153716_620298,train,Put a heated apple in the fridge.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Bread-None-DiningTable-15/trial_T20190907_030751_816698,train,Put heated bread on the table. ,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Cup-None-Cabinet-28/trial_T20190909_062858_196741,train,"Put a cup, with a fork stuck through its side, in an upper cabinet.",False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Egg-None-GarbageCan-12/trial_T20190910_151939_914332,train,Place a cooked egg inside the waste basket.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Mug-None-Cabinet-11/trial_T20190908_074036_014884,train,"heat the cup in the microwave, put it in the cabinet",False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Mug-None-Cabinet-12/trial_T20190909_032940_018377,train,Heat up a black mug and put it away over the microwave.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-16/trial_T20190908_181242_051846,train,heat up a cup and put it in the coffee maker,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-30/trial_T20190908_044350_359469,train,Place a heated mug on the coffee maker.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Mug-None-Shelf-20/trial_T20190907_054036_412242,train,Drying the coffee cup and putting it away,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Mug-None-Shelf-20/trial_T20190907_054140_093754,train,Heat up the cup on the wooden shelf.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Plate-None-Cabinet-28/trial_T20190907_035752_332060,train,Taking the plate out of the microwave to put it away in the cabinet.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190909_115633_911483,train,Place a heated plate on a counter.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190909_115728_885311,train,Microwave the white plate to set it down by the sink.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Plate-None-CounterTop-28/trial_T20190907_180330_211175,train,Put the warm plate on the counter,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Plate-None-CounterTop-7/trial_T20190909_100702_050461,train,Place a heated plate on the counter.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Potato-None-GarbageCan-3/trial_T20190908_121849_346541,train,Put a heated potato in a green bin.,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Tomato-None-GarbageCan-16/trial_T20190906_171701_034036,train,Put a heated tomato in the trash can. ,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Tomato-None-SideTable-3/trial_T20190907_140859_097831,train,Place a cooked tomato on a microwave stand,False
pick_heat_then_place_in_recep,pick_heat_then_place_in_recep-Tomato-None-SideTable-3/trial_T20190907_140946_092791,train,Put a heated tomato on the table next to the microwave. ,False
pick_two_obj_and_place,pick_two_obj_and_place-AlarmClock-None-Desk-307/trial_T20190907_013752_725369,train,Place two clocks on a desk.,False
pick_two_obj_and_place,pick_two_obj_and_place-AlarmClock-None-Dresser-305/trial_T20190907_165758_902037,train,Put two clocks on the dresser.,False
pick_two_obj_and_place,pick_two_obj_and_place-AlarmClock-None-Shelf-316/trial_T20190909_010429_853588,train,Move the alarm clocks on the desk to the drawer shelf. ,False
pick_two_obj_and_place,pick_two_obj_and_place-Book-None-Drawer-307/trial_T20190909_111435_540631,train,Put two books in a desk drawer.,False
pick_two_obj_and_place,pick_two_obj_and_place-Bowl-None-Dresser-327/trial_T20190907_195918_167799,train,Put two bowls on the dresser at the foot of the bed.,False
pick_two_obj_and_place,pick_two_obj_and_place-CD-None-Dresser-303/trial_T20190908_085703_053950,train,To move two CD's to the dresser. ,False
pick_two_obj_and_place,pick_two_obj_and_place-Candle-None-Cabinet-403/trial_T20190909_065841_838469,train,put two candle sticks in cabinet,False
pick_two_obj_and_place,pick_two_obj_and_place-Candle-None-Drawer-427/trial_T20190909_043940_867553,train,put two candle sticks in bureau drawer,False
pick_two_obj_and_place,pick_two_obj_and_place-CellPhone-None-Drawer-329/trial_T20190909_030006_191201,train,To move two media devices to the drawer of the night stands.,False
pick_two_obj_and_place,pick_two_obj_and_place-CreditCard-None-Sofa-216/trial_T20190909_150017_974673,train,Put two credit cards on the right cushion of the couch.,False
pick_two_obj_and_place,pick_two_obj_and_place-Egg-None-Microwave-30/trial_T20190907_163255_256147,train,put two light brown balls in microwave,False
pick_two_obj_and_place,pick_two_obj_and_place-KeyChain-None-Drawer-317/trial_T20190912_073129_052747,train,To put two key chains in the top right dresser drawer.,False
pick_two_obj_and_place,pick_two_obj_and_place-Newspaper-None-Sofa-212/trial_T20190908_003932_911911,train,Move two newspapers to the sofa,False
pick_two_obj_and_place,pick_two_obj_and_place-Pillow-None-Ottoman-208/trial_T20190908_091434_545645,train,Place two different pillows from the room onto the ottoman in front of the arm chair.,False
pick_two_obj_and_place,pick_two_obj_and_place-SaltShaker-None-Drawer-12/trial_T20190907_175233_453383,train,Move two salt shakers to a drawer by the stove. ,False
pick_two_obj_and_place,pick_two_obj_and_place-SoapBar-None-Cabinet-428/trial_T20190909_013318_053714,train,Put two bars of soap in the cabinet under the sink.,False
pick_two_obj_and_place,pick_two_obj_and_place-SoapBottle-None-Cart-401/trial_T20190908_215205_561346,train,Put two bottles on the rack.,False
pick_two_obj_and_place,pick_two_obj_and_place-SoapBottle-None-GarbageCan-428/trial_T20190909_105731_241727,train,put two pumper bottles inside bin near toilet,False
pick_two_obj_and_place,pick_two_obj_and_place-SprayBottle-None-Toilet-422/trial_T20190908_164720_891084,train,Put two white spray bottles on top of the toilet tank.,False
pick_two_obj_and_place,pick_two_obj_and_place-ToiletPaper-None-Shelf-422/trial_T20190908_065858_170962,train,Place empty toilet paper roll and full toilet paper roll on bottom open shelf of cupboard.,False
look_at_obj_in_light,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,valid_seen,look at the clock under the lamp,False
look_at_obj_in_light,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,valid_seen,take the bowl to the lamp,False
look_at_obj_in_light,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,valid_seen,Examine a bowl by the light of a desk lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,valid_seen,Turn on a light with a box in hand.,False
look_at_obj_in_light,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,valid_seen,"Grab the disc from the shelf, turn on the lamp on the cabinet",False
look_at_obj_in_light,look_at_obj_in_light-CD-None-DeskLamp-314/trial_T20190907_114323_767231,valid_seen,Examine a CD by a lamp,False
look_at_obj_in_light,look_at_obj_in_light-CD-None-DeskLamp-320/trial_T20190907_224451_655673,valid_seen,Carry a CD while turning on a lamp,False
look_at_obj_in_light,look_at_obj_in_light-KeyChain-None-DeskLamp-327/trial_T20190906_202601_548273,valid_seen,Examine the keys under the light of the table lamp,False
look_at_obj_in_light,look_at_obj_in_light-Laptop-None-DeskLamp-328/trial_T20190908_201550_622420,valid_seen,Pick up a laptop and turn on a lamp,False
look_at_obj_in_light,look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139,valid_seen,Carry a purple pillow while turning on a lamp,False
look_at_obj_in_light,look_at_obj_in_light-Pillow-None-DeskLamp-323/trial_T20190908_053153_077977,valid_seen,Look at a pillow by the light of a lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Statue-None-DeskLamp-216/trial_T20190909_193045_208933,valid_seen,Examine a statue by the light of a small lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Vase-None-DeskLamp-303/trial_T20190907_150418_457594,valid_seen,Turn on the desk lamp while holding a yellow disc,False
pick_and_place_simple,pick_and_place_simple-Book-None-SideTable-329/trial_T20190908_050633_745514,valid_seen,move a magazine from the bed to the table,True
pick_and_place_simple,pick_and_place_simple-Book-None-Sofa-229/trial_T20190907_042856_259139,valid_seen,Move a book from a desk to a sofa.,True
pick_and_place_simple,pick_and_place_simple-Bowl-None-CoffeeTable-201/trial_T20190907_171639_045329,valid_seen,Move a bowl from a dining table to a coffee table.,True
pick_and_place_simple,pick_and_place_simple-Box-None-Dresser-224/trial_T20190907_164104_229696,valid_seen,move a box from the couch to the dresser,True
pick_and_place_simple,pick_and_place_simple-Candle-None-Cart-401/trial_T20190909_081908_677973,valid_seen,Put a candle on a rack.,True
pick_and_place_simple,pick_and_place_simple-Candle-None-Toilet-407/trial_T20190909_055248_059513,valid_seen,Put a candle on the back of a toilet.,True
pick_and_place_simple,pick_and_place_simple-Candle-None-Toilet-429/trial_T20190908_052232_887934,valid_seen,Put a bottle on the back of a newspaper.,True
pick_and_place_simple,pick_and_place_simple-CellPhone-None-ArmChair-318/trial_T20190909_120047_968274,valid_seen,Place a cell phone on a chair.,True
pick_and_place_simple,pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528,valid_seen,"Take the blue cell phone from the dresser, put it on the bed",True
pick_and_place_simple,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,valid_seen,Place a credit card on a chair.,True
pick_and_place_simple,pick_and_place_simple-CreditCard-None-Drawer-227/trial_T20190909_010644_297017,valid_seen,Put the credit card in the drawer.,True
pick_and_place_simple,pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234406_356490,valid_seen,Put an egg in the microwave. ,True
pick_and_place_simple,pick_and_place_simple-Knife-None-SideTable-3/trial_T20190918_184236_557252,valid_seen,place a knife on the microwave oven table,False
pick_and_place_simple,pick_and_place_simple-Mug-None-Dresser-311/trial_T20190909_152837_739016,valid_seen,Put the mug on the dresser with the television.,False
pick_and_place_simple,pick_and_place_simple-Mug-None-SideTable-329/trial_T20190909_032318_169393,valid_seen,Move a mug to a nightstand.,False
pick_and_place_simple,pick_and_place_simple-Mug-None-SideTable-329/trial_T20190909_032340_274147,valid_seen,Place a CD on a table.,False
pick_and_place_simple,pick_and_place_simple-Newspaper-None-Sofa-224/trial_T20190909_111324_949106,valid_seen,Place a newspaper on a couch.,False
pick_and_place_simple,pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334,valid_seen,Place a pencil on a desk.,False
pick_and_place_simple,pick_and_place_simple-Pencil-None-Dresser-330/trial_T20190909_071128_012892,valid_seen,to grab a pencil from the night stand and place it on the dresser,False
pick_and_place_simple,pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_021000_274398,valid_seen,Place a remote control on a chair.,False
pick_and_place_simple,pick_and_place_simple-RemoteControl-None-Sofa-207/trial_T20190909_153609_373481,valid_seen,move the remote from the table to the couch,False
pick_and_place_simple,pick_and_place_simple-SoapBar-None-Cart-401/trial_T20190907_054906_608944,valid_seen,To place the soap on the rack.,False
pick_and_place_simple,pick_and_place_simple-SoapBottle-None-Cabinet-414/trial_T20190908_110131_524518,valid_seen,Move a bottle from the counter to the drawer.,False
pick_and_place_simple,pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384,valid_seen,Place a soap container on a counter.,False
pick_and_place_simple,pick_and_place_simple-SprayBottle-None-Cabinet-413/trial_T20190907_114931_692464,valid_seen,put the green spray bottle into the drawer,False
pick_and_place_simple,pick_and_place_simple-SprayBottle-None-GarbageCan-409/trial_T20190908_054742_818364,valid_seen,Put a spray bottle in a garbage bin.,False
pick_and_place_simple,pick_and_place_simple-SprayBottle-None-Toilet-415/trial_T20190909_075955_678702,valid_seen, put the spray bottle on the back of the toilet,False
pick_and_place_simple,pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190942_706186,valid_seen,Put a spray bottle on top of the toilet's water tank.,False
pick_and_place_simple,pick_and_place_simple-TissueBox-None-Toilet-426/trial_T20190910_155319_795672,valid_seen,Move tissues from counter to toilet,False
pick_and_place_simple,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-406/trial_T20190908_122858_883968,valid_seen,Put an empty toilet paper roll on a toilet paper holder.,False
pick_and_place_simple,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-415/trial_T20190908_050518_595510,valid_seen,Put a roll of toilet paper on the toilet paper holder.,False
pick_and_place_simple,pick_and_place_simple-Tomato-None-Microwave-13/trial_T20190908_124829_632660,valid_seen,Put a tomato in the microwave.,False
pick_and_place_simple,pick_and_place_simple-Vase-None-CoffeeTable-207/trial_T20190909_091246_807206,valid_seen,Place a vase on a coffee table,False
pick_and_place_simple,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,valid_seen,Put one watch on the end tale. ,False
pick_and_place_simple,pick_and_place_simple-WineBottle-None-Shelf-7/trial_T20190907_200154_378982,valid_seen,"Put a wine bottle on the second from the bottom shelf, in the kitchen. ",False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-8/trial_T20190909_105559_983897,valid_seen,wash the butter knife and put it back on the counter,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-ButterKnife-None-DiningTable-16/trial_T20190909_114508_617301,valid_seen,To wash an knife and place it on the kitchen table.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866,valid_seen,Put a clean butter knife in a drawer.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-30/trial_T20190908_052007_212776,valid_seen,Place a rinsed knife inside a drawer.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124425_112757,valid_seen,Place a clean knife in a drawer.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Cloth-None-Cabinet-405/trial_T20190907_080903_889497,valid_seen,Put a wet towel in the cabinet.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Cloth-None-Drawer-423/trial_T20190908_140701_251653,valid_seen,Get wash rag wet and put it away in drawer.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-DishSponge-None-Cart-401/trial_T20190907_024634_972453,valid_seen,Put a wet sponge on the metal rack. ,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-DishSponge-None-CounterTop-403/trial_T20190908_144357_621068,valid_seen,Put a wet sponge on the counter.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Fork-None-CounterTop-23/trial_T20190908_233922_171295,valid_seen,Place a rinsed fork on a counter.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Fork-None-Drawer-8/trial_T20190908_132152_999725,valid_seen,Wash a fork and place inside kitchen drawer.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Ladle-None-CounterTop-14/trial_T20190909_113844_191747,valid_seen,Place a rinsed spoon on a counter.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Ladle-None-CounterTop-8/trial_T20190909_121908_219603,valid_seen,Place a clean ladle on a counter.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Ladle-None-DiningTable-16/trial_T20190909_183724_205399,valid_seen,Put a clean large metal spoon on the round white table.,False
pick_clean_then_place_in_recep,pick_clean_then_place_in_recep-Ladle-None-DiningTable-27/trial_T20190911_131350_027076,valid_seen,put clean spoon on the table,False
