run_group,run_root,split,framework,seed,run_dir,task_count,success_count,success_rate,avg_reward,avg_steps,context_tasks,retrieved_learnings_total,avg_retrieved_learnings_per_task,help_calls_total,avg_help_calls_per_task,total_steps,avg_steps_from_trajectories,input_tokens_total,output_tokens_total,total_tokens_total,cached_tokens_total,avg_total_tokens_per_task,cost_total,avg_cost_per_task
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_hard_neg_cr_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_hard_neg_cr_tr/seed_1,134,74,0.5522388059701493,0.5522388059701493,34.69402985074627,134,626,4.6716417910447765,364,2.716417910447761,4649.0,34.69402985074627,13185007.0,181458.0,13366465.0,2038469.0,99749.73880597015,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_hard_neg_cr_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_hard_neg_cr_tr/seed_2,134,73,0.5447761194029851,0.5447761194029851,34.80597014925373,134,626,4.6716417910447765,364,2.716417910447761,4664.0,34.80597014925373,13226336.0,180716.0,13407052.0,2337485.0,100052.62686567164,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_tr/seed_0,134,101,0.753731343283582,0.753731343283582,27.67910447761194,0,0,0.0,302,2.253731343283582,3709.0,27.67910447761194,8301670.0,75366.0,8377036.0,851558.0,62515.19402985075,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_tr/seed_1,134,101,0.753731343283582,0.753731343283582,27.67910447761194,0,0,0.0,302,2.253731343283582,3709.0,27.67910447761194,8300444.0,75473.0,8375917.0,835267.0,62506.84328358209,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_tr/seed_2,134,101,0.753731343283582,0.753731343283582,27.70149253731343,0,0,0.0,303,2.2611940298507465,3712.0,27.70149253731343,8305771.0,75516.0,8381287.0,1035382.0,62546.91791044776,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react/seed_0,30,10,0.3333333333333333,0.36733333333333335,32.63333333333333,0,0,0.0,0,0.0,979.0,32.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react/seed_1,30,11,0.36666666666666664,0.3383333333333333,30.933333333333334,0,0,0.0,0,0.0,928.0,30.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react/seed_2,30,6,0.2,-0.063,29.3,0,0,0.0,0,0.0,879.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_cr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_cr/seed_0,30,8,0.26666666666666666,0.10566666666666666,29.666666666666668,30,132,4.4,0,0.0,890.0,29.666666666666668,6928206.0,31001.0,6959207.0,3110270.0,231973.56666666668,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_cr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_cr/seed_1,30,7,0.23333333333333334,0.19233333333333333,31.9,30,132,4.4,0,0.0,957.0,31.9,7651120.0,34046.0,7685166.0,3322059.0,256172.2,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_cr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_cr/seed_2,30,9,0.3,0.215,29.866666666666667,30,132,4.4,0,0.0,896.0,29.866666666666667,6897669.0,17478.0,6915147.0,2257388.0,230504.9,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_cr_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_cr_tr/seed_0,30,7,0.23333333333333334,0.21366666666666667,33.5,30,132,4.4,25,0.8333333333333334,1005.0,33.5,8751294.0,26704.0,8777998.0,4063838.0,292599.93333333335,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_cr_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_cr_tr/seed_1,30,11,0.36666666666666664,0.345,29.766666666666666,30,132,4.4,19,0.6333333333333333,893.0,29.766666666666666,7538450.0,19249.0,7557699.0,2341242.0,251923.3,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_cr_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_cr_tr/seed_2,30,7,0.23333333333333334,0.078,30.433333333333334,30,132,4.4,18,0.6,913.0,30.433333333333334,7156753.0,18775.0,7175528.0,2376841.0,239184.26666666666,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_hard_neg_cr_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_hard_neg_cr_tr/seed_0,30,7,0.23333333333333334,0.088,32.666666666666664,30,125,4.166666666666667,33,1.1,980.0,32.666666666666664,8227799.0,50732.0,8278531.0,3536823.0,275951.0333333333,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_hard_neg_cr_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_hard_neg_cr_tr/seed_1,30,8,0.26666666666666666,0.331,33.36666666666667,30,125,4.166666666666667,29,0.9666666666666667,1001.0,33.36666666666667,8657900.0,22723.0,8680623.0,3257832.0,289354.1,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_hard_neg_cr_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_hard_neg_cr_tr/seed_2,30,11,0.36666666666666664,0.36033333333333334,33.2,30,125,4.166666666666667,32,1.0666666666666667,996.0,33.2,8645722.0,42867.0,8688589.0,3444819.0,289619.63333333336,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_tr/seed_0,30,9,0.3,0.3476666666666667,35.4,0,0,0.0,42,1.4,1062.0,35.4,8840395.0,28167.0,8868562.0,3829259.0,295618.73333333334,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_tr/seed_1,30,8,0.26666666666666666,0.177,31.733333333333334,0,0,0.0,30,1.0,952.0,31.733333333333334,7199995.0,23758.0,7223753.0,2566865.0,240791.76666666666,0.0,0.0
scienceworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini,test,react_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/scienceworld_trials7_gemini/test/react_tr/seed_2,30,7,0.23333333333333334,0.24333333333333335,35.43333333333333,0,0,0.0,40,1.3333333333333333,1063.0,35.43333333333333,8813157.0,25854.0,8839011.0,3337580.0,294633.7,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react/seed_0,200,183,0.915,0.920275,8.67,0,0,0.0,0,0.0,1734.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react/seed_1,200,183,0.915,0.920275,8.67,0,0,0.0,0,0.0,1734.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react/seed_2,200,183,0.915,0.920275,8.67,0,0,0.0,0,0.0,1734.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_cr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_cr/seed_0,200,177,0.885,0.888775,8.935,178,410,2.05,0,0.0,1787.0,8.935,3110021.0,119550.0,3229571.0,76615.0,16147.855,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_cr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_cr/seed_1,200,177,0.885,0.889675,8.935,178,410,2.05,0,0.0,1787.0,8.935,3110277.0,119535.0,3229812.0,35764.0,16149.06,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_cr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_cr/seed_2,200,177,0.885,0.889675,8.935,178,410,2.05,0,0.0,1787.0,8.935,3110277.0,119535.0,3229812.0,151238.0,16149.06,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_cr_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_cr_tr/seed_0,200,184,0.92,0.921825,9.12,178,410,2.05,20,0.1,1824.0,9.12,3901044.0,121332.0,4022376.0,214551.0,20111.88,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_cr_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_cr_tr/seed_1,200,184,0.92,0.921825,9.11,178,410,2.05,20,0.1,1822.0,9.11,3896620.0,120097.0,4016717.0,181846.0,20083.585,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_cr_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_cr_tr/seed_2,200,184,0.92,0.921825,9.11,178,410,2.05,20,0.1,1822.0,9.11,3896510.0,121316.0,4017826.0,124670.0,20089.13,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_hard_neg_cr_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_hard_neg_cr_tr/seed_0,200,179,0.895,0.9059462121212121,9.03,172,336,1.68,24,0.12,1806.0,9.03,3819070.0,86652.0,3905722.0,126676.0,19528.61,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_hard_neg_cr_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_hard_neg_cr_tr/seed_1,200,179,0.895,0.9059462121212121,9.03,171,334,1.67,24,0.12,1806.0,9.03,3818140.0,86624.0,3904764.0,106193.0,19523.82,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_hard_neg_cr_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_hard_neg_cr_tr/seed_2,200,179,0.895,0.9059462121212121,9.03,172,336,1.68,24,0.12,1806.0,9.03,3819070.0,86652.0,3905722.0,135874.0,19528.61,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_tr/seed_0,200,182,0.91,0.918925,9.235,0,0,0.0,23,0.115,1847.0,9.235,3841581.0,116564.0,3958145.0,223732.0,19790.725,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_tr/seed_1,200,182,0.91,0.918925,9.235,0,0,0.0,23,0.115,1847.0,9.235,3841581.0,116564.0,3958145.0,238037.0,19790.725,0.0,0.0
sql_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini,test,react_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/sql_trials7_gemini/test/react_tr/seed_2,200,181,0.905,0.913925,9.23,0,0,0.0,23,0.115,1846.0,9.23,3837889.0,116496.0,3954385.0,172673.0,19771.925,0.0,0.0
