task_id,task_desc,trunc_trajectory
pick_and_place_simple-Laptop-None-Ottoman-203/trial_T20190908_110713_350931,put some laptop on ottoman.,"Step 1: action: think: I need to find a laptop, take it, and then put it on the ottoman 1. I will start by looking for the laptop on the coffeetable 1., observation: OK. Step 2: action: go to coffeetable 1, observation: You arrive at coffeetable 1. On the coffeetable 1, you see a cellphone 1, a newspaper 1, a plate 1, a tissuebox 1, a vase 1, and a watch 1. Step 3: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a bowl 1, a cellphone 2, a tissuebox 3, and a tissuebox 2. Step 4: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a houseplant 1, a remotecontrol 2, and..."
pick_and_place_simple-Pencil-None-Shelf-313/trial_T20190908_182722_927182,put some pencil on shelf.,"Step 1: action: think: To solve the task, I need to find a pencil, take it, and then put it on a shelf., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a cd 1, a creditcard 1, a tissuebox 3, and a tissuebox 2. Step 3: action: think: I need to find a pencil. I have checked desk 1 and there is no pencil there. I will now check the drawers, starting with drawer 1., observation: OK. Step 4: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 5: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it,..."
pick_and_place_simple-Pencil-None-SideTable-309/trial_T20190909_040329_875526,put a pencil in sidetable.,"Step 1: action: think: To solve the task, I need to find and take a pencil, then put it in sidetable., observation: OK. Step 2: action: think: First I need to find a pencil. A pencil is more likely to appear in desk (1), drawer (1-4), cabinet (1-2), armchair (1-3). I can check one by one, starting with desk 1., observation: OK. Step 3: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 3, a alarmclock 2, a alarmclock 1, a houseplant 1, a mug 1, a pen 2, and a remotecontrol 1. Step 4: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 5: action: open drawer 1, observation: You open..."
pick_and_place_simple-PepperShaker-None-Drawer-5/trial_T20190908_195236_701456,put a peppershaker in drawer.,"Step 1: action: think: I need to find a peppershaker and a drawer. Then I will take the peppershaker and put it in the drawer. I will start by looking for a peppershaker on the countertops., observation: OK. Step 2: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a bowl 1, a butterknife 2, a kettle 1, a pan 1, a peppershaker 1, a plate 3, a potato 3, a saltshaker 2, a tomato 1, and a vase 2. Step 3: action: take peppershaker 1 from countertop 1, observation: You pick up the peppershaker 1 from the countertop 1. Step 4: action: think: I have the peppershaker 1. Now I need to put it in a drawer. I see drawer 1,..."
pick_and_place_simple-Statue-None-CoffeeTable-230/trial_T20190909_145138_877153,put a statue in coffeetable.,"Step 1: action: think: I need to find a statue, take it, and then put it on a coffeetable. I will start by looking for a statue on the visible furniture. I'll check coffeetable 1 first., observation: OK. Step 2: action: go to coffeetable 1, observation: You arrive at coffeetable 1. On the coffeetable 1, you see a box 1, a creditcard 2, a houseplant 2, a remotecontrol 1, and a tissuebox 2. Step 3: action: go to coffeetable 2, observation: You arrive at coffeetable 2. On the coffeetable 2, you see a newspaper 2, a newspaper 1, a television 1, and a tissuebox 3. Step 4: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a keychain 1, a laptop 2,..."
pick_and_place_simple-TissueBox-None-Toilet-402/trial_T20190908_060020_023543,put some tissuebox on toilet.,"Step 1: action: think: To solve the task, I need to find and take a tissuebox, then put it on toilet., observation: OK. Step 2: action: think: First I need to find a tissuebox. A tissuebox is more likely to appear in cabinet (1-4), countertop (1), shelf (1), toilet (1), sinkbasin (1-2), garbagecan (1). I can check one by one, starting with cabinet 1., observation: OK. Step 3: action: go to cabinet 1, observation: You arrive at cabinet 1. The cabinet 1 is closed. Step 4: action: open cabinet 1, observation: You open the cabinet 1. The cabinet 1 is open. In it, you see nothing. Step 5: action: go to cabinet 2, observation: You arrive at cabinet 2. The cabinet 2 is closed. Step 6: action: open cabinet 2,..."
pick_and_place_simple-TissueBox-None-Toilet-426/trial_T20190909_043641_389014,put a tissuebox in toilet.,"Step 1: action: think: To solve the task, I need to find and take a tissuebox, then put it on toilet., observation: OK. Step 2: action: think: First I need to find a tissuebox. A tissuebox is more likely to appear in countertop (1), drawers (1-8), or sinkbasin (1). I can check one by one, starting with countertop 1., observation: OK. Step 3: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a candle 3, a soapbottle 2, and a tissuebox 1. Step 4: action: take tissuebox 1 from countertop 1, observation: You pick up the tissuebox 1 from the countertop 1. Step 5: action: think: Now I have the tissuebox 1. Next, I need to put it on the toilet 1.,..."
pick_and_place_simple-ToiletPaper-None-GarbageCan-403/trial_T20190907_034528_884833,put a toiletpaper in garbagecan.,"Step 1: action: think: To solve the task, I need to find and take a toiletpaper, then put it in garbagecan., observation: OK. Step 2: action: think: First I need to find a toiletpaper. A toiletpaper is more likely to appear in cabinet (1-4), countertop (1), toilet (1), sinkbasin (1-2), toiletpaperhanger (1), shelf (1). I can check one by one, starting with toiletpaperhanger 1., observation: OK. Step 3: action: go to toiletpaperhanger 1, observation: You arrive at toiletpaperhanger 1. On the toiletpaperhanger 1, you see a toiletpaper 4. Step 4: action: take toiletpaper 4 from toiletpaperhanger 1, observation: You pick up the toiletpaper 4 from the toiletpaperhanger 1. Step 5: action: think: Now I have the toiletpaper 4. Next, I need to put it in garbagecan 1., observation: OK. Step..."
pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-401/trial_T20190908_215242_151083,put some toiletpaper on toiletpaperhanger.,"Step 1: action: think: To solve the task, I need to find and take a toiletpaper, then put it on toiletpaperhanger., observation: OK. Step 2: action: think: First I need to find a toiletpaper. A toiletpaper is more likely to appear in shelf (1-4), cart (1), toilet (1), sinkbasin (1), bathtubbasin (1), garbagecan (1). I can check one by one, starting with shelf 1., observation: OK. Step 3: action: go to shelf 1, observation: You arrive at shelf 1. On the shelf 1, you see a toiletpaper 1. Step 4: action: think: Now I find a toiletpaper (1). Next, I need to take it., observation: OK. Step 5: action: take toiletpaper 1 from shelf 1, observation: You pick up the toiletpaper 1 from the shelf 1. Step 6: action: think:..."
pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-409/trial_T20190907_152834_016179,put some toiletpaper on toiletpaperhanger.,"Step 1: action: think: To solve the task, I need to find some toiletpaper, then put it on the toiletpaperhanger., observation: OK. Step 2: action: think: First I need to find some toiletpaper. Toiletpaper is likely to be in drawers, on the countertop, or near the toilet. I will start by checking the drawers, beginning with drawer 1., observation: OK. Step 3: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 4: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see nothing. Step 5: action: go to drawer 2, observation: You arrive at drawer 2. The drawer 2 is closed. Step 6: action: open drawer 2, observation: You open the drawer 2...."
pick_and_place_simple-Tomato-None-Microwave-5/trial_T20190918_171755_707602,put a tomato in microwave.,"Step 1: action: think: To solve the task, I need to find a tomato, take it, and then put it in the microwave., observation: OK. Step 2: action: go to fridge 1, observation: You arrive at fridge 1. The fridge 1 is closed. Step 3: action: open fridge 1, observation: You open the fridge 1. The fridge 1 is open. In it, you see a egg 1, a pot 2, a pot 1, a tomato 2, and a tomato 1. Step 4: action: take tomato 1 from fridge 1, observation: You pick up the tomato 1 from the fridge 1. Step 5: action: go to microwave 1, observation: You arrive at microwave 1. The microwave 1 is closed. Step 6: action: open microwave 1, observation: You open the microwave 1...."
pick_and_place_simple-WineBottle-None-DiningTable-15/trial_T20190906_184025_017468,put some winebottle on diningtable.,"Step 1: action: think: To solve the task, I need to find a winebottle, take it, and then put it on the diningtable., observation: OK. Step 2: action: go to cabinet 1, observation: You arrive at cabinet 1. On the cabinet 1, you see nothing. Step 3: action: go to cabinet 2, observation: You arrive at cabinet 2. The cabinet 2 is closed. Step 4: action: open cabinet 2, observation: You open the cabinet 2. The cabinet 2 is open. In it, you see nothing. Step 5: action: go to cabinet 3, observation: You arrive at cabinet 3. The cabinet 3 is closed. Step 6: action: open cabinet 3, observation: You open the cabinet 3. The cabinet 3 is open. In it, you see nothing. Step 7: action: go to..."
pick_clean_then_place_in_recep-Apple-None-Fridge-27/trial_T20190906_220837_406682,clean some apple and put it in fridge.,"Step 1: action: think: I need to find an apple, clean it, and then put it in the fridge. I will start by looking for an apple on the diningtable 1., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a apple 2, a bowl 2, a butterknife 1, a cup 2, a cup 1, a dishsponge 3, a fork 2, a knife 2, a lettuce 2, a mug 2, a potato 3, a saltshaker 2, a soapbottle 3, a soapbottle 2, and a winebottle 2. Step 3: action: take apple 2 from diningtable 1, observation: You pick up the apple 2 from the diningtable 1. Step 4: action: think: I have taken apple 2. Now I need..."
pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-25/trial_T20190907_212003_625417,put a clean butterknife in countertop.,"Step 1: action: think: I need to find a butterknife, clean it, and then put it on the countertop. I will start by looking for a butterknife in the drawers. There are 5 drawers, I'll check drawer 1 first., observation: OK. Step 2: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 3: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see nothing. Step 4: action: think: I have checked drawer 1 and it was empty. I will continue checking the drawers for a butterknife, starting with drawer 2., observation: OK. Step 5: action: go to drawer 2, observation: You arrive at drawer 2. The drawer 2 is closed. Step 6: action:..."
pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124509_288754,clean some butterknife and put it in drawer.,"Step 1: action: think: To solve the task, I need to find a butterknife, take it, clean it with the sinkbasin, and then put it into a drawer., observation: OK. Step 2: action: think: First, I need to find a butterknife. I will check the countertops first, then drawers, then cabinets., observation: OK. Step 3: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a bowl 2, a bowl 1, a dishsponge 1, a glassbottle 1, a houseplant 1, a saltshaker 1, and a spraybottle 2. Step 4: action: go to countertop 2, observation: You arrive at countertop 2. On the countertop 2, you see a butterknife 1, a cup 2, a fork 1, a knife 1, a sink 1, and a..."
